Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2010.3112793,2025-09-01,2025-09-14
2,Arsenal,ENG,1,1995.59558105,2025-09-01,2025-09-13
3,Paris SG,FRA,1,1979.0324707,2025-08-31,2025-09-14
4,Barcelona,ESP,1,1947.61572266,2025-09-01,2025-09-14
5,Real Madrid,ESP,1,1943.71557617,2025-09-01,2025-09-13
6,Man City,ENG,1,1938.97631836,2025-09-01,2025-09-14
7,Bayern,GER,1,1929.61364746,2025-09-01,2025-09-13
8,Inter,ITA,1,1922.74255371,2025-09-01,2025-09-13
9,Chelsea,ENG,1,1915.28540039,2025-08-31,2025-09-13
10,Newcastle,ENG,1,1861.95117188,2025-09-01,2025-09-13
11,Crystal Palace,ENG,1,1854.12866211,2025-09-01,2025-09-13
12,Napoli,ITA,1,1846.17578125,2025-08-31,2025-09-13
13,Aston Villa,ENG,1,1845.70544434,2025-09-01,2025-09-13
14,Atletico,ESP,1,1833.05187988,2025-08-31,2025-09-12
15,Leverkusen,GER,1,1832.09094238,2025-08-31,2025-09-12
16,Atalanta,ITA,1,1830.04406738,2025-08-31,2025-09-14
17,Roma,ITA,1,1828.97351074,2025-08-31,2025-09-14
18,Brighton,ENG,1,1823.54284668,2025-09-01,2025-09-13
19,Benfica,POR,1,1820.73498535,2025-09-01,2025-09-12
20,Dortmund,GER,1,1819.77722168,2025-09-01,2025-09-12
21,Bournemouth,ENG,1,1818.21594238,2025-09-01,2025-09-12
22,Juventus,ITA,1,1816.04064941,2025-09-01,2025-09-12
23,Bilbao,ESP,1,1805.19494629,2025-09-01,2025-09-13
24,Everton,ENG,1,1804.04858398,2025-08-31,2025-09-13
25,Man United,ENG,1,1801.46630859,2025-08-31,2025-09-14
26,Brentford,ENG,1,1797.1595459,2025-08-31,2025-09-13
27,Lille,FRA,1,1796.20996094,2025-09-01,2025-09-13
28,Forest,ENG,1,1794.91601562,2025-09-01,2025-09-13
29,Villarreal,ESP,1,1794.06420898,2025-09-01,2025-09-13
30,Tottenham,ENG,1,1793.89379883,2025-08-31,2025-09-13
31,Sporting,POR,1,1793.08422852,2025-08-31,2025-09-13
32,PSV,NED,1,1785.68981934,2025-08-31,2025-09-13
33,Milan,ITA,1,1779.40600586,2025-08-31,2025-09-13
34,Fulham,ENG,1,1777.98095703,2025-08-31,2025-09-13
35,Frankfurt,GER,1,1763.71960449,2025-08-31,2025-09-12
36,Lazio,ITA,1,1763.54992676,2025-09-01,2025-09-12
37,Monaco,FRA,1,1761.88146973,2025-09-01,2025-09-12
38,Lyon,FRA,1,1760.73498535,2025-09-01,2025-09-12
39,Brugge,BEL,1,1754.20324707,2025-09-01,2025-09-13
40,Fiorentina,ITA,1,1754.09472656,2025-09-01,2025-09-13
41,Bologna,ITA,1,1751.06591797,2025-08-31,2025-09-13
42,Marseille,FRA,1,1742.69567871,2025-09-01,2025-09-12
43,West Ham,ENG,1,1739.49951172,2025-09-01,2025-09-13
44,Betis,ESP,1,1735.63452148,2025-09-01,2025-09-14
45,Feyenoord,NED,1,1734.94006348,2025-09-01,2025-09-13
46,St Gillis,BEL,1,1733.15893555,2025-09-01,2025-09-13
47,Leeds,ENG,1,1729.59655762,2025-09-01,2025-09-13
48,Porto,POR,1,1725.94921875,2025-09-01,2025-09-13
49,Burnley,ENG,1,1719.71594238,2025-09-01,2025-09-13
50,Stuttgart,GER,1,1716.10876465,2025-09-01,2025-09-13
51,RB Leipzig,GER,1,1715.88598633,2025-09-01,2025-09-13
52,Wolves,ENG,1,1715.67651367,2025-09-01,2025-09-13
53,Strasbourg,FRA,1,1713.17150879,2025-09-01,2025-09-13
54,Galatasaray,TUR,1,1711.22277832,2025-08-31,2025-09-13
55,Mainz,GER,1,1698.22412109,2025-09-01,2025-09-13
56,Lens,FRA,1,1696.51123047,2025-09-01,2025-09-13
57,Osasuna,ESP,1,1693.84484863,2025-09-01,2025-09-13
58,Olympiakos,GRE,1,1690.69885254,2025-09-01,2025-09-13
59,Nice,FRA,1,1685.43237305,2025-09-01,2025-09-13
60,Fenerbahce,TUR,1,1682.39196777,2025-09-01,2025-09-14
61,Valencia,ESP,1,1681.89892578,2025-09-01,2025-09-14
62,Slavia Praha,CZE,1,1679.5958252,2025-08-31,2025-09-13
63,Celta,ESP,1,1675.80456543,2025-09-01,2025-09-14
64,Rayo Vallecano,ESP,1,1674.80114746,2025-09-01,2025-09-14
65,Werder,GER,1,1673.16027832,2025-09-01,2025-09-14
66,Torino,ITA,1,1672.17089844,2025-09-01,2025-09-14
67,Toulouse,FRA,1,1666.83789062,2025-09-01,2025-09-14
68,FC Kobenhavn,DEN,1,1663.46325684,2025-09-01,2025-09-13
69,Ajax,NED,1,1661.89770508,2025-09-01,2025-09-13
70,Braga,POR,1,1660.89123535,2025-09-01,2025-09-13
71,Brest,FRA,1,1658.97277832,2025-09-01,2025-09-13
72,Sociedad,ESP,1,1658.7043457,2025-09-01,2025-09-13
73,Como,ITA,1,1658.20214844,2025-09-01,2025-09-14
74,Espanyol,ESP,1,1657.13818359,2025-09-01,2025-09-12
75,Wolfsburg,GER,1,1656.85327148,2025-09-01,2025-09-12
76,Genoa,ITA,1,1655.6640625,2025-09-01,2025-09-12
77,Bodoe Glimt,NOR,1,1654.71264648,2025-09-01,2025-09-12
78,Freiburg,GER,1,1653.08837891,2025-09-01,2025-09-13
79,Celtic,SCO,1,1653.03027344,2025-09-01,2025-09-13
80,Rennes,FRA,1,1650.41870117,2025-09-01,2025-09-13
81,Alaves,ESP,1,1649.07739258,2025-08-31,2025-09-13
82,Getafe,ESP,1,1641.69506836,2025-08-30,2025-09-13
