Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2009.3848877,2025-01-01,2025-01-05
2,Inter,ITA,1,1993.51904297,2025-01-01,2025-01-12
3,Arsenal,ENG,1,1985.33520508,2025-01-01,2025-01-01
4,Real Madrid,ESP,1,1949.76184082,2025-01-01,2025-01-03
5,Man City,ENG,1,1940.04760742,2025-01-01,2025-01-04
6,Atalanta,ITA,1,1919.76953125,2025-01-01,2025-01-11
7,Leverkusen,GER,1,1906.35351562,2025-01-01,2025-01-10
8,Bayern,GER,1,1903.53625488,2025-01-01,2025-01-11
9,Paris SG,FRA,1,1900.93969727,2025-01-01,2025-01-12
10,Barcelona,ESP,1,1892.0892334,2025-01-01,2025-01-18
11,Atletico,ESP,1,1865.86779785,2025-01-01,2025-01-12
12,Chelsea,ENG,1,1864.34838867,2025-01-01,2025-01-04
13,Juventus,ITA,1,1859.93188477,2025-01-01,2025-01-11
14,Newcastle,ENG,1,1840.6036377,2025-01-01,2025-01-04
15,Milan,ITA,1,1836.79907227,2025-01-01,2025-01-04
16,Napoli,ITA,1,1835.23181152,2025-01-01,2025-01-04
17,Lazio,ITA,1,1829.7479248,2025-01-01,2025-01-05
18,Sporting,POR,1,1827.13024902,2025-01-01,2025-01-03
19,PSV,NED,1,1816.71459961,2025-01-01,2025-01-10
20,Lille,FRA,1,1815.86340332,2025-01-01,2025-01-04
21,Dortmund,GER,1,1815.07165527,2025-01-01,2025-01-04
22,Bilbao,ESP,1,1810.31091309,2025-01-01,2025-01-04
23,Tottenham,ENG,1,1799.62744141,2025-01-01,2025-01-04
24,Aston Villa,ENG,1,1799.41162109,2025-01-01,2025-01-04
25,Benfica,POR,1,1792.0814209,2025-01-01,2025-01-04
26,Porto,POR,1,1791.88464355,2025-01-01,2025-01-03
27,Fiorentina,ITA,1,1789.76196289,2025-01-01,2025-01-03
28,Bournemouth,ENG,1,1773.63903809,2025-01-01,2025-01-03
29,Fulham,ENG,1,1771.66394043,2025-01-01,2025-01-03
30,Monaco,FRA,1,1771.27490234,2025-01-01,2025-01-03
31,Bologna,ITA,1,1768.99536133,2025-01-01,2025-01-06
32,Forest,ENG,1,1766.3626709,2025-01-01,2025-01-05
33,Marseille,FRA,1,1764.66650391,2025-01-01,2025-01-05
34,Roma,ITA,1,1757.65783691,2025-01-01,2025-01-04
35,Crystal Palace,ENG,1,1756.65026855,2025-01-01,2025-01-04
36,Man United,ENG,1,1756.40222168,2025-01-01,2025-01-04
37,Brighton,ENG,1,1753.26464844,2025-01-01,2025-01-04
38,Lyon,FRA,1,1750.54736328,2025-01-01,2025-01-04
39,RB Leipzig,GER,1,1750.37084961,2025-01-01,2025-01-11
40,Feyenoord,NED,1,1748.09375,2025-01-01,2025-01-11
41,Stuttgart,GER,1,1743.98120117,2025-01-01,2025-01-12
42,Brugge,BEL,1,1739.70080566,2025-01-01,2025-01-04
43,Villarreal,ESP,1,1737.39111328,2025-01-01,2025-01-04
44,Sociedad,ESP,1,1736.19055176,2025-01-01,2025-01-04
45,Brentford,ENG,1,1734.68359375,2025-01-01,2025-01-01
46,West Ham,ENG,1,1731.68566895,2025-01-01,2025-01-01
47,Lens,FRA,1,1719.2232666,2025-01-01,2025-01-05
48,Frankfurt,GER,1,1718.16870117,2025-01-01,2025-01-05
49,Girona,ESP,1,1717.32397461,2025-01-01,2025-01-05
50,Galatasaray,TUR,1,1714.02648926,2025-01-01,2025-01-04
51,Torino,ITA,1,1713.20361328,2025-01-01,2025-01-05
52,Brest,FRA,1,1710.02697754,2025-01-01,2025-01-05
53,Everton,ENG,1,1709.59802246,2025-01-01,2025-01-04
