Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2014.81518555,2025-03-14,2025-04-02
2,Arsenal,ENG,1,1998.97167969,2025-03-17,2025-04-01
3,Real Madrid,ESP,1,1964.21691895,2025-03-30,2025-04-05
4,Inter,ITA,1,1964.07543945,2025-03-31,2025-04-05
5,Paris SG,FRA,1,1959.0748291,2025-03-30,2025-04-05
6,Barcelona,ESP,1,1954.85107422,2025-03-31,2025-04-05
7,Bayern,GER,1,1922.66357422,2025-03-30,2025-04-04
8,Man City,ENG,1,1916.85827637,2025-03-16,2025-04-02
9,Leverkusen,GER,1,1884.5871582,2025-03-29,2025-04-05
10,Atletico,ESP,1,1865.31762695,2025-03-30,2025-04-06
11,Atalanta,ITA,1,1850.41247559,2025-03-31,2025-04-03
12,Chelsea,ENG,1,1849.70349121,2025-03-17,2025-04-03
13,Newcastle,ENG,1,1836.78430176,2025-03-14,2025-04-02
14,Napoli,ITA,1,1836.40637207,2025-03-31,2025-04-02
15,Aston Villa,ENG,1,1821.52563477,2025-03-14,2025-04-02
16,Bilbao,ESP,1,1811.47680664,2025-03-31,2025-04-01
17,Crystal Palace,ENG,1,1808.42810059,2025-03-17,2025-04-01
18,Juventus,ITA,1,1807.3293457,2025-03-30,2025-04-01
19,Forest,ENG,1,1806.07092285,2025-03-30,2025-04-01
20,Brighton,ENG,1,1802.4432373,2025-03-17,2025-04-02
21,Tottenham,ENG,1,1795.24206543,2025-03-17,2025-04-02
22,Bournemouth,ENG,1,1794.06604004,2025-03-16,2025-04-02
23,Man United,ENG,1,1793.29663086,2025-03-17,2025-04-01
24,Bologna,ITA,1,1791.78039551,2025-03-30,2025-04-01
25,Roma,ITA,1,1790.67956543,2025-03-30,2025-04-01
26,Fulham,ENG,1,1782.73400879,2025-03-31,2025-04-01
27,Dortmund,GER,1,1779.86047363,2025-03-31,2025-04-05
28,Sporting,POR,1,1778.87646484,2025-03-31,2025-04-06
29,Benfica,POR,1,1777.49633789,2025-03-31,2025-04-02
30,Lille,FRA,1,1776.23266602,2025-03-31,2025-04-05
31,Milan,ITA,1,1773.37255859,2025-04-01,2025-04-05
32,Fiorentina,ITA,1,1773.0625,2025-04-01,2025-04-05
33,Lazio,ITA,1,1772.92419434,2025-04-01,2025-04-05
34,PSV,NED,1,1770.10559082,2025-03-31,2025-04-05
35,Brentford,ENG,1,1768.86474609,2025-03-31,2025-04-02
36,Villarreal,ESP,1,1766.67944336,2025-03-31,2025-04-02
37,Monaco,FRA,1,1762.37878418,2025-03-31,2025-04-05
38,Everton,ENG,1,1751.03259277,2025-03-29,2025-04-02
39,Feyenoord,NED,1,1748.46081543,2025-03-31,2025-04-02
40,Frankfurt,GER,1,1747.6842041,2025-03-31,2025-04-05
41,Lyon,FRA,1,1747.38525391,2025-03-31,2025-04-05
42,Betis,ESP,1,1745.3458252,2025-03-31,2025-04-05
43,West Ham,ENG,1,1739.05053711,2025-03-30,2025-04-01
44,RB Leipzig,GER,1,1736.86584473,2025-03-30,2025-04-01
45,Mainz,GER,1,1727.72473145,2025-03-31,2025-04-05
46,Torino,ITA,1,1721.65454102,2025-04-01,2025-04-06
47,Marseille,FRA,1,1720.07299805,2025-04-01,2025-04-05
48,Brugge,BEL,1,1719.91821289,2025-04-01,2025-04-05
49,Stuttgart,GER,1,1713.35656738,2025-03-30,2025-04-05
50,Ajax,NED,1,1709.92028809,2025-03-31,2025-04-05
51,Porto,POR,1,1708.85449219,2025-03-31,2025-04-05
52,Sociedad,ESP,1,1699.48608398,2025-03-31,2025-04-01
53,Strasbourg,FRA,1,1697.09289551,2025-03-31,2025-04-01
54,Fenerbahce,TUR,1,1696.82836914,2025-03-31,2025-04-01
55,Wolves,ENG,1,1696.68334961,2025-03-31,2025-04-01
56,Burnley,ENG,2,1687.7487793,2025-03-31,2025-04-05
57,Girona,ESP,1,1687.66320801,2025-03-31,2025-04-05
58,Brest,FRA,1,1686.5447998,2025-03-31,2025-04-05
59,Nice,FRA,1,1685.68237305,2025-04-01,2025-04-04
60,Leeds,ENG,2,1682.7130127,2025-04-01,2025-04-04
61,Sevilla,ESP,1,1682.5970459,2025-04-01,2025-04-04
62,Celta,ESP,1,1681.54663086,2025-04-01,2025-04-04
63,Freiburg,GER,1,1680.68212891,2025-03-31,2025-04-04
64,Gladbach,GER,1,1677.96313477,2025-03-30,2025-04-04
65,Slavia Praha,CZE,1,1677.44897461,2025-03-30,2025-04-04
66,Rayo Vallecano,ESP,1,1676.5847168,2025-03-31,2025-04-04
67,Getafe,ESP,1,1675.84680176,2025-03-31,2025-04-04
68,Wolfsburg,GER,1,1674.11328125,2025-03-30,2025-04-04
69,Celtic,SCO,1,1672.80664062,2025-03-31,2025-04-05
70,Lens,FRA,1,1672.21459961,2025-03-31,2025-04-05
71,Galatasaray,TUR,1,1669.77270508,2025-03-31,2025-04-05
72,Osasuna,ESP,1,1669.47790527,2025-03-31,2025-04-05
73,St Gillis,BEL,1,1668.24853516,2025-03-30,2025-04-05
74,Genoa,ITA,1,1666.51013184,2025-03-30,2025-04-04
75,Mallorca,ESP,1,1665.22180176,2025-03-31,2025-04-04
76,Augsburg,GER,1,1664.62597656,2025-03-30,2025-04-04
77,Udinese,ITA,1,1663.5513916,2025-03-31,2025-04-04
78,Valencia,ESP,1,1662.97277832,2025-03-31,2025-04-04
79,Rennes,FRA,1,1655.7923584,2025-03-31,2025-04-04
80,Braga,POR,1,1655.04846191,2025-03-30,2025-04-04
81,Olympiakos,GRE,1,1655.03735352,2025-03-31,2025-04-04
82,Genk,BEL,1,1651.77600098,2025-03-31,2025-04-05
83,Toulouse,FRA,1,1648.58959961,2025-03-31,2025-04-05
84,Werder,GER,1,1647.89990234,2025-03-31,2025-04-05
85,Bodoe Glimt,NOR,1,1639.55419922,2025-03-31,2025-04-04
86,Zenit,RUS,1,1633.5213623,2025-03-31,2025-04-04
87,Sassuolo,ITA,2,1633.21606445,2025-03-31,2025-04-04
88,Sheffield United,ENG,2,1628.79785156,2025-03-30,2025-04-04
89,Alkmaar,NED,1,1627.64562988,2025-03-31,2025-04-01
90,Espanyol,ESP,1,1622.03637695,2025-03-31,2025-04-01
91,Alaves,ESP,1,1620.98596191,2025-03-31,2025-04-01
92,Rangers,SCO,1,1619.40393066,2025-03-31,2025-04-05
93,Union Berlin,GER,1,1618.1373291,2025-03-31,2025-04-05
94,Crvena Zvezda,SRB,1,1617.59655762,2025-03-30,2025-04-05
95,Sparta Praha,CZE,1,1616.02172852,2025-03-31,2025-04-05
96,Auxerre,FRA,1,1615.3371582,2025-03-31,2025-04-05
97,Hoffenheim,GER,1,1614.92578125,2025-03-31,2025-04-05
98,Cagliari,ITA,1,1609.58618164,2025-03-31,2025-04-05
99,FC Krasnodar,RUS,1,1606.25939941,2025-04-01,2025-04-05
100,Viktoria Plzen,CZE,1,1605.81628418,2025-04-01,2025-04-06
None,Verona,ITA,1,1604.90600586,2025-04-01,2025-04-06
None,Como,ITA,1,1598.00354004,2025-03-30,2025-04-05
None,Las Palmas,ESP,1,1595.75427246,2025-04-01,2025-04-06
None,Leicester,ENG,1,1592.06689453,2025-03-17,2025-04-02
None,Levante,ESP,2,1591.96191406,2025-03-30,2025-04-06
None,Anderlecht,BEL,1,1591.8112793,2025-03-31,2025-04-06
None,Twente,NED,1,1587.66137695,2025-03-31,2025-04-05
None,Spartak Moskva,RUS,1,1586.81555176,2025-03-31,2025-04-06
None,Empoli,ITA,1,1586.04125977,2025-03-30,2025-04-06
None,Reims,FRA,1,1585.71057129,2025-03-30,2025-04-06
None,Leganes,ESP,1,1583.29443359,2025-03-30,2025-04-07
None,FC Kobenhavn,DEN,1,1583.22351074,2025-04-01,2025-04-06
None,Elche,ESP,2,1582.43200684,2025-03-31,2025-04-07
None,Ipswich,ENG,1,1582.15661621,2025-03-16,2025-04-02
None,St Pauli,GER,1,1581.92431641,2025-03-30,2025-04-06
None,Guimaraes,POR,1,1579.39221191,2025-03-31,2025-04-05
None,Lorient,FRA,2,1579.29394531,2025-03-30,2025-04-05
None,Hamburg,GER,2,1575.86364746,2025-03-29,2025-04-05
None,Metz,FRA,2,1574.96826172,2025-03-29,2025-04-05
None,Lecce,ITA,1,1574.56567383,2025-03-30,2025-04-06
None,Parma,ITA,1,1570.92333984,2025-04-01,2025-04-05
None,Utrecht,NED,1,1568.72216797,2025-03-31,2025-04-06
None,Koeln,GER,2,1568.25744629,2025-03-30,2025-04-05
None,Midtjylland,DEN,1,1567.58398438,2025-03-31,2025-04-04
None,Sturm Graz,AUT,1,1566.10949707,2025-03-31,2025-04-04
None,Salzburg,AUT,1,1565.60595703,2025-03-31,2025-04-06
None,Almeria,ESP,2,1562.5135498,2025-03-30,2025-04-05
None,CSKA Moskva,RUS,1,1560.71936035,2025-03-30,2025-04-06
None,Nantes,FRA,1,1560.23095703,2025-03-31,2025-04-04
None,AEK,GRE,1,1557.59082031,2025-03-31,2025-04-06
None,Heidenheim,GER,1,1556.81445312,2025-03-30,2025-04-05
None,Venezia,ITA,1,1556.18444824,2025-03-30,2025-04-06
