Rank,Club,Country,Level,Elo,From,To
1,Arsenal,ENG,1,2035.26708984,2025-12-01,2025-12-03
2,Bayern,GER,1,1989.55371094,2025-11-30,2025-12-06
3,Paris SG,FRA,1,1969.42883301,2025-11-30,2025-12-06
4,Man City,ENG,1,1958.28955078,2025-11-30,2025-12-02
5,Real Madrid,ESP,1,1927.87036133,2025-12-01,2025-12-03
6,Liverpool,ENG,1,1925.00073242,2025-12-01,2025-12-02
7,Barcelona,ESP,1,1919.41296387,2025-12-01,2025-12-02
8,Inter,ITA,1,1919.38635254,2025-12-01,2025-12-03
9,Chelsea,ENG,1,1914.14550781,2025-12-01,2025-12-03
10,Aston Villa,ENG,1,1882.00842285,2025-12-01,2025-12-03
11,Atletico,ESP,1,1876.51245117,2025-11-30,2025-12-02
12,Newcastle,ENG,1,1869.64709473,2025-11-30,2025-12-02
13,Leverkusen,GER,1,1865.21618652,2025-11-30,2025-12-06
14,Dortmund,GER,1,1864.55419922,2025-11-30,2025-12-06
15,Brighton,ENG,1,1851.00244141,2025-12-01,2025-12-03
16,Napoli,ITA,1,1832.78027344,2025-12-01,2025-12-03
17,Crystal Palace,ENG,1,1831.69250488,2025-12-01,2025-12-03
18,Man United,ENG,1,1821.4753418,2025-12-01,2025-12-04
19,Milan,ITA,1,1819.16967773,2025-12-01,2025-12-04
20,Brentford,ENG,1,1816.66113281,2025-11-30,2025-12-03
21,Sporting,POR,1,1816.0369873,2025-12-01,2025-12-03
22,PSV,NED,1,1813.4387207,2025-12-01,2025-12-03
23,Roma,ITA,1,1808.10949707,2025-12-01,2025-12-06
24,Bournemouth,ENG,1,1806.24133301,2025-11-30,2025-12-02
25,Atalanta,ITA,1,1801.09521484,2025-12-01,2025-12-06
26,Tottenham,ENG,1,1798.71191406,2025-12-01,2025-12-02
27,Juventus,ITA,1,1795.80163574,2025-12-01,2025-12-02
28,Everton,ENG,1,1787.19750977,2025-11-30,2025-12-02
29,Benfica,POR,1,1783.87463379,2025-11-30,2025-12-05
30,Villarreal,ESP,1,1783.71484375,2025-12-01,2025-12-05
31,Marseille,FRA,1,1781.33312988,2025-12-01,2025-12-05
32,Fulham,ENG,1,1780.63500977,2025-12-01,2025-12-02
33,Bologna,ITA,1,1772.62145996,2025-12-01,2025-12-01
34,RB Leipzig,GER,1,1771.20361328,2025-12-01,2025-12-01
35,Forest,ENG,1,1767.17993164,2025-12-01,2025-12-01
36,Lille,FRA,1,1762.80163574,2025-12-01,2025-12-01
37,Betis,ESP,1,1758.31848145,2025-12-01,2025-12-01
38,Porto,POR,1,1758.18054199,2025-12-01,2025-12-01
39,Lazio,ITA,1,1752.91162109,2025-12-01,2025-12-01
40,Lyon,FRA,1,1748.14379883,2025-12-01,2025-12-06
41,Lens,FRA,1,1745.90625,2025-12-01,2025-12-06
42,Frankfurt,GER,1,1743.8260498,2025-12-01,2025-12-06
43,Stuttgart,GER,1,1736.45947266,2025-12-01,2025-12-06
44,St Gillis,BEL,1,1730.3840332,2025-12-01,2025-12-06
45,Bilbao,ESP,1,1727.64331055,2025-12-01,2025-12-03
46,Brugge,BEL,1,1724.60021973,2025-12-01,2025-12-03
47,Monaco,FRA,1,1723.13171387,2025-12-01,2025-12-03
48,West Ham,ENG,1,1722.95202637,2025-12-01,2025-12-03
49,Freiburg,GER,1,1722.21972656,2025-12-01,2025-12-03
50,Galatasaray,TUR,1,1717.63146973,2025-11-30,2025-12-01
51,Strasbourg,FRA,1,1712.50354004,2025-12-01,2025-12-03
52,Como,ITA,1,1711.06518555,2025-12-01,2025-12-03
53,Burnley,ENG,1,1702.97998047,2025-11-30,2025-12-03
54,Leeds,ENG,1,1701.43005371,2025-11-30,2025-12-03
55,Fenerbahce,TUR,1,1690.70825195,2025-11-28,2025-12-01
56,Slavia Praha,CZE,1,1690.62609863,2025-11-30,2025-12-01
57,Rennes,FRA,1,1689.16052246,2025-11-29,2025-12-06
58,Werder,GER,1,1686.02270508,2025-11-30,2025-12-06
59,Olympiakos,GRE,1,1684.82189941,2025-12-01,2025-12-06
60,Hoffenheim,GER,1,1684.53051758,2025-12-01,2025-12-07
61,Fiorentina,ITA,1,1674.3404541,2025-12-01,2025-12-06
62,Midtjylland,DEN,1,1670.57080078,2025-12-01,2025-12-06
63,Celta,ESP,1,1670.38964844,2025-12-01,2025-12-07
64,Zenit,RUS,1,1660.30273438,2025-12-01,2025-12-01
65,Wolves,ENG,1,1660.25598145,2025-12-01,2025-12-01
66,Brest,FRA,1,1658.80969238,2025-12-01,2025-12-01
67,Sociedad,ESP,1,1657.94946289,2025-12-01,2025-12-01
68,Espanyol,ESP,1,1657.4597168,2025-12-01,2025-12-01
69,Braga,POR,1,1656.3293457,2025-11-28,2025-12-01
70,Mainz,GER,1,1656.19921875,2025-12-01,2025-12-03
71,Torino,ITA,1,1655.38818359,2025-12-01,2025-12-03
72,Valencia,ESP,1,1652.76159668,2025-12-01,2025-12-01
73,Gladbach,GER,1,1651.66308594,2025-12-01,2025-12-03
74,Rayo Vallecano,ESP,1,1651.25341797,2025-12-01,2025-12-01
75,Toulouse,FRA,1,1649.7713623,2025-12-01,2025-12-01
76,Feyenoord,NED,1,1646.68322754,2025-12-01,2025-12-03
77,Sunderland,ENG,1,1645.08044434,2025-12-01,2025-12-03
78,Osasuna,ESP,1,1645.03027344,2025-12-01,2025-12-07
79,Bodoe Glimt,NOR,1,1643.90002441,2025-12-01,2025-12-07
80,Coventry,ENG,2,1637.77416992,2025-12-01,2025-12-06
81,Union Berlin,GER,1,1637.11096191,2025-12-01,2025-12-06
82,Getafe,ESP,1,1634.67883301,2025-12-01,2025-12-06
83,FC Krasnodar,RUS,1,1633.50476074,2025-12-01,2025-12-06
84,Nice,FRA,1,1628.63745117,2025-12-01,2025-12-06
85,Wolfsburg,GER,1,1626.80615234,2025-12-01,2025-12-06
86,Sevilla,ESP,1,1625.99450684,2025-12-01,2025-12-06
87,Mallorca,ESP,1,1625.21435547,2025-12-01,2025-12-05
88,Udinese,ITA,1,1624.28356934,2025-12-01,2025-12-06
89,Genoa,ITA,1,1623.63708496,2025-12-01,2025-12-06
90,Alaves,ESP,1,1623.06323242,2025-12-01,2025-12-06
91,Genk,BEL,1,1618.05578613,2025-12-01,2025-12-06
92,Sassuolo,ITA,1,1617.29882812,2025-12-01,2025-12-06
93,Celtic,SCO,1,1615.30700684,2025-12-01,2025-12-03
94,PAOK,GRE,1,1611.98693848,2025-12-01,2025-12-06
95,Augsburg,GER,1,1604.78186035,2025-11-30,2025-12-06
96,Girona,ESP,1,1601.0748291,2025-12-01,2025-12-07
97,CSKA Moskva,RUS,1,1600.75231934,2025-11-30,2025-12-06
98,Elche,ESP,1,1598.83557129,2025-11-30,2025-12-06
99,Koeln,GER,1,1598.46398926,2025-11-30,2025-12-06
100,Anderlecht,BEL,1,1596.81933594,2025-12-01,2025-12-07
None,Viktoria Plzen,CZE,1,1592.41040039,2025-12-01,2025-12-06
None,Cagliari,ITA,1,1591.42590332,2025-11-30,2025-12-07
None,Lorient,FRA,1,1591.13195801,2025-12-01,2025-12-07
None,FC Kobenhavn,DEN,1,1590.80859375,2025-12-01,2025-12-07
None,Ipswich,ENG,2,1588.18579102,2025-11-29,2025-12-02
None,Parma,ITA,1,1582.34680176,2025-11-30,2025-12-08
None,Lecce,ITA,1,1582.12536621,2025-12-01,2025-12-07
None,Viking,NOR,1,1581.95214844,2025-12-01,2025-12-10
None,Alkmaar,NED,1,1580.12243652,2025-12-01,2025-12-07
None,Hamburg,GER,1,1579.5657959,2025-12-01,2025-12-07
None,Auxerre,FRA,1,1579.37890625,2025-11-30,2025-12-07
None,AEK,GRE,1,1577.82727051,2025-12-01,2025-12-07
None,Levante,ESP,1,1577.35961914,2025-11-30,2025-12-08
None,Brondby,DEN,1,1576.71557617,2025-11-28,2025-12-01
None,Crvena Zvezda,SRB,1,1572.11022949,2025-12-01,2025-12-04
None,Lok Moskva,RUS,1,1571.25292969,2025-12-01,2025-12-07
None,Las Palmas,ESP,2,1570.53039551,2025-12-01,2025-12-08
None,Sparta Praha,CZE,1,1568.68078613,2025-12-01,2025-12-06
None,Karabakh Agdam,AZE,0,1567.44592285,2025-11-26,2025-12-10
None,Ajax,NED,1,1567.29296875,2025-11-28,2025-12-02
None,Cremonese,ITA,1,1565.51184082,2025-11-28,2025-12-01
None,Le Havre,FRA,1,1563.86560059,2025-12-01,2025-12-07
None,Venezia,ITA,2,1562.3828125,2025-11-30,2025-12-08
None,Angers,FRA,1,1562.15661621,2025-12-01,2025-12-07
None,Nantes,FRA,1,1561.6027832,2025-12-01,2025-12-06
None,Leicester,ENG,2,1560.89697266,2025-11-30,2025-12-06
None,Reims,FRA,2,1559.77832031,2025-11-28,2025-12-08
None,Almeria,ESP,2,1559.43994141,2025-11-30,2025-12-06
None,Shakhtar,UKR,1,1559.16381836,2025-11-28,2025-12-01
None,Paphos,CYP,0,1555.4005127,2025-11-28,2025-12-10
None,St Pauli,GER,1,1555.02746582,2025-11-30,2025-12-06
None,Metz,FRA,1,1554.91357422,2025-11-29,2025-12-07
None,Aarhus,DEN,1,1554.45471191,2025-12-01,2025-12-07
None,Spartak Moskva,RUS,1,1553.63879395,2025-11-30,2025-12-06
None,Mjaellby,SWE,1,1553.49658203,2025-11-28,2025-12-11
None,Verona,ITA,1,1553.25610352,2025-11-30,2025-12-06
None,Middlesbrough,ENG,2,1552.80688477,2025-11-30,2025-12-05
None,Guimaraes,POR,1,1552.07324219,2025-11-29,2025-12-08
None,Paris FC,FRA,1,1551.23376465,2025-11-30,2025-12-07
None,Monza,ITA,2,1551.18408203,2025-12-01,2025-12-08
None,Heidenheim,GER,1,1550.65625,2025-11-30,2025-12-06
None,Oviedo,ESP,1,1550.57641602,2025-11-30,2025-12-05
None,Panathinaikos,GRE,1,1549.24536133,2025-12-01,2025-12-07
None,Famalicao,POR,1,1548.23413086,2025-11-30,2025-12-06
None,Pisa,ITA,1,1547.67773438,2025-12-01,2025-12-08
None,Sheffield United,ENG,2,1546.51306152,2025-11-30,2025-12-06
None,Santander,ESP,2,1545.95031738,2025-12-01,2025-12-07
None,Rakow,POL,1,1544.26843262,2025-12-01,2025-12-07
None,Southampton,ENG,2,1544.18725586,2025-11-30,2025-12-06
None,Elversberg,GER,2,1539.27001953,2025-12-01,2025-12-06
None,Brann,NOR,1,1539.05212402,2025-12-01,2025-12-10
None,Utrecht,NED,1,1538.13439941,2025-12-01,2025-12-07
None,Twente,NED,1,1535.64477539,2025-12-01,2025-12-07
None,Depor,ESP,2,1534.75524902,2025-11-30,2025-12-07
None,Empoli,ITA,2,1533.40637207,2025-11-30,2025-12-07
None,Saint-Etienne,FRA,2,1533.23217773,2025-11-28,2025-12-06
None,Bristol City,ENG,2,1531.07714844,2025-11-30,2025-12-06
None,Leganes,ESP,2,1530.60473633,2025-12-01,2025-12-07
None,Paderborn,GER,2,1529.34350586,2025-11-29,2025-12-06
None,Ferencvaros,HUN,1,1527.85510254,2025-12-01,2025-12-04
None,Stoke,ENG,2,1523.42333984,2025-11-30,2025-12-06
None,Trabzonspor,TUR,1,1522.77380371,2025-11-30,2025-12-07
None,Dinamo Zagreb,CRO,1,1522.53918457,2025-11-28,2025-12-11
None,Millwall,ENG,2,1521.49731445,2025-11-30,2025-12-06
None,Hannover,GER,2,1520.01574707,2025-11-29,2025-12-05
None,Jagiellonia,POL,1,1519.45556641,2025-12-01,2025-12-07
None,Rangers,SCO,1,1518.62585449,2025-12-01,2025-12-03
None,Nijmegen,NED,1,1518.52539062,2025-11-30,2025-12-07
None,Hammarby,SWE,1,1515.17980957,2025-11-28,2025-12-11
None,West Brom,ENG,2,1514.67651367,2025-11-30,2025-12-06
None,Preston,ENG,2,1514.38305664,2025-11-30,2025-12-06
None,Bochum,GER,2,1513.18017578,2025-11-30,2025-12-06
None,Frosinone,ITA,2,1511.35168457,2025-11-30,2025-12-08
None,Hertha,GER,2,1509.07922363,2025-11-30,2025-12-07
None,Hull,ENG,2,1507.52746582,2025-11-30,2025-12-05
None,Antwerp,BEL,1,1505.22033691,2025-12-01,2025-12-07
None,Basel,SUI,1,1504.62451172,2025-12-01,2025-12-07
None,Darmstadt,GER,2,1504.57824707,2025-12-01,2025-12-06
None,Young Boys,SUI,1,1502.97192383,2025-12-01,2025-12-07
None,Holstein,GER,2,1502.72521973,2025-11-30,2025-12-07
None,Besiktas,TUR,1,1502.46679688,2025-12-01,2025-12-08
None,St Truiden,BEL,1,1501.95202637,2025-12-01,2025-12-06
None,Larnaca,CYP,0,1501.90917969,2025-11-28,2025-12-10
None,Dynamo Moskva,RUS,1,1500.89160156,2025-12-01,2025-12-06
None,Cadiz,ESP,2,1500.68322754,2025-12-01,2025-12-07
None,Watford,ENG,2,1500.55187988,2025-11-28,2025-12-01
