Rank,Club,Country,Level,Elo,From,To
1,Arsenal,ENG,1,2053.62329102,2026-01-01,2026-01-03
2,Man City,ENG,1,1999.296875,2026-01-01,2026-01-01
3,Bayern,GER,1,1993.19519043,2026-01-01,2026-01-01
4,Paris SG,FRA,1,1967.92297363,2026-01-01,2026-01-04
5,Barcelona,ESP,1,1944.59594727,2026-01-01,2026-01-03
6,Liverpool,ENG,1,1944.39233398,2026-01-01,2026-01-01
7,Inter,ITA,1,1922.83178711,2026-01-01,2026-01-03
8,Aston Villa,ENG,1,1921.3717041,2026-01-01,2026-01-03
9,Real Madrid,ESP,1,1910.13195801,2026-01-01,2026-01-04
10,Chelsea,ENG,1,1887.01904297,2026-01-01,2026-01-04
11,Atletico,ESP,1,1875.27600098,2026-01-01,2026-01-04
12,Newcastle,ENG,1,1865.11877441,2026-01-01,2026-01-04
13,Dortmund,GER,1,1861.64123535,2026-01-01,2026-01-09
14,Leverkusen,GER,1,1856.76269531,2026-01-01,2026-01-10
15,Brighton,ENG,1,1828.42419434,2026-01-01,2026-01-03
16,Sporting,POR,1,1828.23950195,2026-01-01,2026-01-02
17,Man United,ENG,1,1827.09802246,2026-01-01,2026-01-02
18,Brentford,ENG,1,1824.11401367,2026-01-01,2026-01-01
19,Milan,ITA,1,1822.04968262,2026-01-01,2026-01-02
20,Napoli,ITA,1,1821.4095459,2026-01-01,2026-01-04
21,Everton,ENG,1,1815.16430664,2026-01-01,2026-01-01
22,Tottenham,ENG,1,1814.06420898,2026-01-01,2026-01-01
23,Juventus,ITA,1,1812.42370605,2026-01-01,2026-01-03
24,Crystal Palace,ENG,1,1806.82299805,2026-01-01,2026-01-01
25,Roma,ITA,1,1806.66320801,2026-01-01,2026-01-01
26,PSV,NED,1,1806.55822754,2026-01-01,2026-01-01
27,Benfica,POR,1,1805.18359375,2026-01-01,2026-01-01
28,Fulham,ENG,1,1796.44970703,2026-01-01,2026-01-01
29,Bournemouth,ENG,1,1795.74389648,2026-01-01,2026-01-03
30,Atalanta,ITA,1,1792.70251465,2026-01-01,2026-01-03
31,Marseille,FRA,1,1785.99633789,2026-01-01,2026-01-04
32,Porto,POR,1,1773.93493652,2026-01-01,2026-01-04
33,Villarreal,ESP,1,1765.2487793,2026-01-01,2026-01-02
34,Forest,ENG,1,1763.25,2026-01-01,2026-01-02
35,Betis,ESP,1,1762.53942871,2026-01-01,2026-01-02
36,RB Leipzig,GER,1,1760.55786133,2026-01-01,2026-01-02
37,Lille,FRA,1,1759.86865234,2026-01-01,2026-01-02
38,Lens,FRA,1,1753.53833008,2026-01-01,2026-01-01
39,Bologna,ITA,1,1749.17687988,2026-01-01,2026-01-01
40,Lazio,ITA,1,1748.44189453,2026-01-01,2026-01-01
41,Leeds,ENG,1,1748.40881348,2026-01-01,2026-01-01
42,Stuttgart,GER,1,1743.76623535,2026-01-01,2026-01-03
43,Lyon,FRA,1,1739.76831055,2026-01-01,2026-01-03
44,Frankfurt,GER,1,1727.28552246,2026-01-01,2026-01-09
45,West Ham,ENG,1,1722.78186035,2026-01-01,2026-01-03
46,Freiburg,GER,1,1722.75695801,2026-01-01,2026-01-03
47,Galatasaray,TUR,1,1718.75915527,2026-01-01,2026-01-03
48,Brugge,BEL,1,1716.35632324,2026-01-01,2026-01-03
49,Monaco,FRA,1,1713.60388184,2026-01-01,2026-01-03
50,Como,ITA,1,1711.64233398,2026-01-01,2026-01-03
51,Bilbao,ESP,1,1710.44934082,2026-01-01,2026-01-03
52,Fenerbahce,TUR,1,1702.97949219,2026-01-01,2026-01-06
53,Strasbourg,FRA,1,1700.33605957,2026-01-01,2026-01-03
54,St Gillis,BEL,1,1699.25744629,2026-01-01,2026-01-03
55,Rennes,FRA,1,1691.72375488,2026-01-01,2026-01-03
56,Celta,ESP,1,1691.60314941,2026-01-01,2026-01-03
57,Hoffenheim,GER,1,1690.6229248,2026-01-01,2026-01-14
58,Burnley,ENG,1,1690.39318848,2026-01-01,2026-01-03
59,Slavia Praha,CZE,1,1683.95495605,2026-01-01,2026-01-04
60,Espanyol,ESP,1,1683.09313965,2026-01-01,2026-01-03
61,Midtjylland,DEN,1,1678.73022461,2026-01-01,2026-01-01
62,Braga,POR,1,1678.58349609,2026-01-01,2026-01-01
63,Olympiakos,GRE,1,1677.50939941,2026-01-01,2026-01-01
64,Sunderland,ENG,1,1674.57055664,2026-01-01,2026-01-01
65,Toulouse,FRA,1,1667.58691406,2026-01-01,2026-01-02
66,Zenit,RUS,1,1662.57800293,2026-01-01,2026-01-02
67,Werder,GER,1,1661.1607666,2026-01-01,2026-01-02
68,Osasuna,ESP,1,1659.74365234,2026-01-01,2026-01-02
69,Brest,FRA,1,1656.07324219,2026-01-01,2026-01-02
70,Torino,ITA,1,1653.01293945,2026-01-01,2026-01-03
71,Mainz,GER,1,1652.64807129,2026-01-01,2026-01-03
72,Union Berlin,GER,1,1649.57556152,2026-01-01,2026-01-03
73,Bodoe Glimt,NOR,1,1648.58691406,2026-01-01,2026-01-03
74,Wolves,ENG,1,1647.17260742,2026-01-01,2026-01-03
75,Valencia,ESP,1,1646.72106934,2026-01-01,2026-01-03
76,Fiorentina,ITA,1,1645.16540527,2026-01-01,2026-01-03
77,Gladbach,GER,1,1643.26501465,2026-01-01,2026-01-03
78,Wolfsburg,GER,1,1642.90844727,2026-01-01,2026-01-03
79,FC Krasnodar,RUS,1,1639.16955566,2026-01-01,2026-01-03
80,Sociedad,ESP,1,1638.15905762,2026-01-01,2026-01-03
81,Rayo Vallecano,ESP,1,1635.77941895,2026-01-01,2026-01-02
82,Mallorca,ESP,1,1635.26623535,2026-01-01,2026-01-02
83,Sevilla,ESP,1,1635.00976562,2026-01-01,2026-01-02
84,Sassuolo,ITA,1,1630.54138184,2026-01-01,2026-01-03
85,Feyenoord,NED,1,1621.53991699,2026-01-01,2026-01-04
86,Coventry,ENG,2,1620.42785645,2026-01-01,2026-01-01
87,Genoa,ITA,1,1620.06188965,2026-01-01,2026-01-03
88,Augsburg,GER,1,1619.00939941,2026-01-01,2026-01-03
89,Ipswich,ENG,2,1618.58129883,2026-01-01,2026-01-01
90,Udinese,ITA,1,1616.45800781,2026-01-01,2026-01-03
91,Elche,ESP,1,1616.41003418,2026-01-01,2026-01-03
92,Alaves,ESP,1,1615.62219238,2026-01-01,2026-01-03
93,Getafe,ESP,1,1612.9387207,2026-01-01,2026-01-02
94,Cagliari,ITA,1,1608.60229492,2026-01-01,2026-01-02
95,PAOK,GRE,1,1605.49926758,2026-01-01,2026-01-02
96,AEK,GRE,1,1604.1920166,2026-01-01,2026-01-04
97,Lorient,FRA,1,1603.57775879,2026-01-01,2026-01-04
